category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
A11	NOUN	1	земля, суша	land, ground	часть земной коры, выступающая над уровнем Мирового океана, земная твердь (в отличие от водного или воздушного пространства), материк, берег	the part of Earth which is not covered by oceans or other bodies of water
A11	NOUN	2	небо	sky	пространство над поверхностью Земли или другого астрономического объекта, панорама, открывающаяся при взгляде с этого объекта в направлении космоса	the atmosphere above a given point, especially as visible from the surface of the Earth as the place where the sun, moon, stars, and clouds are seen
A11	NOUN	3	солнце	sun	звезда, являющаяся центром Солнечной системы, как шарообразный светящийся небесный объект, видимый с Земли	a star, especially when seen as the centre of any single solar system
A11	VERB	4	взойти (о небесных светилах)	to rise (of a heavenly body)	появиться, подняться над горизонтом (о небесных светилах)	to appear to move upwards from behind the horizon of a planet as a result of the planet's rotation
A11	VERB	5	опуститься, закатиться (о небесных светилах)	то descend, to set (of a heavenly body)	скрыться за горизонтом, зайти (о небесном светиле)	to disappear behind the horizon, to go down (about a heavenly body)
A11	NOUN	6	луна	moon	естественный спутник Земли (Луна) как светящийся объект на небе	Earth's natural satellite (the Moon) as a luminous object in the sky
A11	NOUN	7	звезда	star	небесное тело, по своей природе сходное с Солнцем, вследствие огромной отдалённости видимое с Земли как светящаяся точка на небесном своде	Any small, natural and bright dot in the sky, most visible in the night or twilight sky.
A11	NOUN	1434	пешеход	pedestrian	человек, идущий пешком	a person travelling on foot
A12	NOUN	8	погода	weather	состояние нижнего слоя атмосферы в определённом месте в определённый момент	the short-term state of the atmosphere at a specific time and place, including the temperature, relative humidity, cloud cover, precipitation, wind, etc.
A12	ADJ	9	тёмный (о ночи)	dark, gloomy	погружённый во мрак, в темноту	not very illuminated; dim because of darkness, especially when appearing depressing or frightening
A12	ADJ	10	мокрый	wet	покрытый или пропитанный водой, влажный	covered or soaked with water, damp
A12	NOUN	11	изморось (мелкий дождь)	drizzle	очень мелкий, моросящий дождь	very fine, drizzling rain
A12	NOUN	12	слякоть	slush	погода сырая с дождем и мокрым снегом	the weather is damp with rain and wet snow
A12	NOUN	13	вёдро	fair weather	тёплая ясная солнечная сухая погода (не о зимней поре)	fair and warm weather (in the summer) 
