category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
B17	ADJ	589	трусливый	cowardly	склонный к трусости, лишённый смелости	lacking courage; easily frightened
B181	NOUN	590	пища	food; nourishment	то, что едят; питательные вещества, употребляемые в пищу	substance consumed as nourishment; food
B181	VERB	592	пить	to drink	употреблять жидкость	to take liquid into the mouth and swallow it
B181	VERB	593	хлебать	to slurp; to lap	пить или есть жидкое, производя хлюпающие звуки	to eat or drink liquid noisily by lapping or scooping with a spoon
B181	VERB	594	сосать	to suck	всасывать жидкость или извлекать содержимое, сжимая и расслабляя губы или рот	to draw liquid into the mouth by suction
B181	NOUN	595	прием пищи	meal; mealtime	приём пищи; время, отведённое для еды	an occasion when food is eaten; a regular time for eating
B181	NOUN	596	завтрак	breakfast	утренний приём пищи	the first meal of the day, eaten in the morning
B181	NOUN	597	обед	lunch; dinner (midday meal)	основной приём пищи в середине дня	the main meal of the day, eaten at midday
B181	NOUN	598	ужин	supper; dinner (evening meal)	вечерний приём пищи	the evening meal
B181	VERB	600	парить	to steam (in cooking)	готовить пищу с помощью горячего пара	to cook food using hot steam
B181	ADJ	601	сладкий	sweet	имеющий вкус сахара или мёда	having the pleasant taste of sugar or honey
B181	ADJ	602	пресный (о тесте, хлебе, лепешках)	unleavened; unsalted (of dough, bread, flatbreads)	не содержащий дрожжей, закваски или соли (о тесте, хлебе, лепёшках)	containing no yeast, sourdough or salt (of dough, bread, flatbreads)
B181	ADJ	603	холодный	cold	имеющий низкую температуру	having a low temperature
B181	VERB	606	кипеть	to boil	нагреваться до температуры кипения, бурлить пузырями	to be heated to boiling point, with bubbles rising to the surface
B181	NOUN	607	чай	tea	напиток, приготовленный завариванием листьев чайного куста	a beverage prepared by infusing the dried leaves of the tea plant in hot water
B181	NOUN	609	сканец	skanetс; rye flatbread	традиционная карельско-вепсская тонкая лепёшка из ржаного теста, раскатанная очень тонко	a traditional Karelian-Veps thin flatbread made from very thinly rolled rye dough
B181	NOUN	610	пирог	pie; pasty	изделие из теста с начинкой, запечённое в духовке	a baked pastry case with a filling
B181	NOUN	611	рыбник (пирог)	fish pie; kalakukko	пирог с рыбной начинкой, традиционное блюдо карельской и вепсской кухни	a pie with a fish filling; a traditional dish of Karelian and Veps cuisine
B181	NOUN	612	каша из муки, загуста	thick flour porridge; zagusta	густая каша или клёцки, сваренные из ржаной или другой муки	a thick porridge or dumpling-like dish cooked from rye or other flour
B181	NOUN	615	крошево	kroshevo; chopped cabbage dish	нарубленные листья капусты (в том числе зелёных наружных листьев), используемые для приготовления щей	chopped (including green outer) cabbage leaves used for making soup, especially shchi
B181	VERB	618	кусать	to bite	захватывать зубами и отрезать или прокусывать	to cut or grip with the teeth
B181	VERB	620	размельчать	to grind; to crush	измельчать на мелкие части	to reduce to small pieces by crushing or grinding
B181	VERB	621	отжимать, выжимать, пропуская через сито	to press; to strain (through a sieve)	выжимать жидкость из чего-либо, пропуская через сито или ткань	to squeeze liquid out of something by passing it through a sieve or cloth
B181	NOUN	623	потроха рыбы	fish offal; fish innards	внутренности рыбы, удаляемые при чистке	the internal organs of a fish, removed during cleaning
B181	NOUN	624	очистки	peelings; scraps	очистки, кожура и другие отходы при чистке овощей или рыбы	peel and other waste removed when cleaning vegetables or fish
